CAMP,RB00,RB01,RB02,RB03,RB04,RB05,PB,PG,RB06,RB07,RB08,RB09,RB10,RB11,RB12
C01,13,10,1,0,0,0,0,0,0,0,0,0,0,0,2
C02,34,18,4,0,0,0,10,1,0,0,0,0,1,2,1
C03,7,20,1,1,1,0,6,2,0,3,0,0,2,0,0
C04,25,21,2,0,0,1,22,1,0,0,1,0,3,1,0
C05,4,9,1,0,0,0,3,0,0,2,0,0,0,2,0
C06,10,36,0,0,0,0,1,1,0,0,0,0,1,1,0
C07,105,159,53,0,0,0,19,15,0,0,0,0,2,1,0
C08,110,67,30,0,1,1,52,0,0,3,0,1,1,4,0
C09,139,128,46,0,0,6,21,18,2,22,2,1,6,13,0
C10,255,137,62,1,5,11,135,69,5,33,5,3,12,46,0
C11,83,48,43,0,6,1,54,39,2,76,8,13,22,42,0
C12,80,59,80,0,3,15,93,25,5,37,0,1,16,38,0
C13,24,6,24,0,2,4,18,5,2,13,1,5,18,9,0
C14,8,1,7,0,2,1,5,1,1,7,0,0,3,7,0
C15,8,2,3,0,0,1,4,1,0,0,0,0,1,1,0
C16,6,0,5,0,0,0,2,0,0,1,1,0,1,1,0
C17,2,15,14,0,0,0,0,0,0,2,0,1,0,2,0
C18,19,53,21,0,2,0,0,0,0,1,0,1,14,1,0
C19,12,2,9,0,0,1,0,0,0,7,0,1,1,1,0
C20,13,6,14,1,0,0,0,0,0,4,2,1,7,2,0
C21,39,26,77,0,0,0,0,0,0,2,1,0,1,3,0
C22,220,93,266,1,2,8,0,0,0,1,1,5,14,11,0
C23,58,34,77,2,1,1,0,0,2,7,2,1,22,42,0
C24,127,76,122,4,0,17,0,0,1,10,7,1,15,0,0
