CODE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,CAMP,SITE
PTEMN,0,0,1,4,2,0,2,2,2,0,0,0,C01,RB00
PTEMR,1,1,0,0,3,0,2,2,3,1,1,0,C01,RB00
PTEMN,0,0,0,0,0,2,0,4,1,2,1,0,C01,RB01
PTEMR,0,0,0,0,0,3,0,0,0,0,0,1,C01,RB01
PTEMN,0,0,0,0,1,0,0,0,0,0,0,0,C01,RB02
PTEMR,0,0,0,0,0,0,0,1,0,0,0,0,C01,RB02
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB03
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB03
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB04
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB04
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB05
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB05
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB06
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB06
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB07
PTEMR,0,0,0,0,0,0,0,0,0,1,0,0,C01,RB07
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB08
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB08
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB09
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB09
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB10
PTEMR,0,0,0,0,0,0,0,0,0,1,0,0,C01,RB10
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB11
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C01,RB11
PTEMN,0,0,0,0,0,0,0,0,0,0,1,1,C01,RB12
PTEMR,0,0,0,0,0,0,1,0,1,0,0,0,C01,RB12
PTEMN,2,3,2,0,0,1,3,0,7,6,10,0,C02,RB00
PTEMR,0,2,3,0,0,1,3,0,7,5,5,0,C02,RB00
PTEMN,0,0,1,0,2,2,2,3,4,1,0,3,C02,RB01
PTEMR,0,1,1,0,1,6,0,5,3,2,2,1,C02,RB01
PTEMN,0,0,0,0,0,0,0,3,1,0,0,0,C02,RB02
PTEMR,0,0,0,0,0,0,0,1,1,1,0,0,C02,RB02
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB03
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB03
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB04
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB04
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB05
PTEMR,0,1,0,0,1,0,0,0,0,0,0,0,C02,RB05
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB06
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB06
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB07
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB07
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB08
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB08
PTEMN,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB09
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB09
PTEMN,0,0,0,0,0,0,0,0,0,1,0,0,C02,RB10
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB10
PTEMN,1,0,0,1,0,0,0,0,0,0,0,0,C02,RB11
PTEMR,1,0,0,2,1,0,0,0,2,0,0,0,C02,RB11
PTEMN,0,0,0,0,0,0,0,1,0,0,0,0,C02,RB12
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C02,RB12
PTEMN,4,0,0,0,0,1,0,0,0,0,2,3,C02,PB
PTEMR,6,2,2,5,0,0,7,2,0,1,7,3,C02,PB
PTEMN,0,0,0,0,0,0,0,0,0,1,0,0,C02,PG
PTEMR,0,0,0,0,1,0,0,0,0,2,1,0,C02,PG
PTEMN,1,0,0,0,0,0,0,1,3,2,0,0,C03,RB00
PTEMR,0,0,2,2,0,1,3,2,2,2,0,0,C03,RB00
PTEMN,0,0,2,1,0,2,1,3,4,5,2,0,C03,RB01
PTEMR,0,0,0,0,2,1,1,0,5,2,0,1,C03,RB01
PTEMN,0,0,0,0,0,0,0,0,0,0,1,0,C03,RB02
PTEMR,0,0,0,0,0,1,0,0,0,0,0,0,C03,RB02
PTEMN,0,0,0,0,0,1,0,0,0,0,0,0,C03,RB03
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C03,RB03
PTEMN,0,0,0,0,0,0,0,0,0,0,1,0,C03,RB04
PTEMR,0,0,0,0,0,0,0,0,0,0,0,0,C03,RB04
