YEAR,CAMP,DATE_start,DATE_end
2004,C01,30/03/2004,13/04/2004
2004,C02,13/04/2004,27/04/2004
2004,C03,27/04/2004,13/05/2004
2004,C04,13/05/2004,25/05/2004
2004,C05,25/05/2004,08/06/2004
2004,C06,08/06/2004,22/06/2004
2004,C07,22/06/2004,06/07/2004
2004,C08,06/07/2004,19/07/2004
2004,C09,19/07/2004,03/08/2004
2004,C10,03/08/2004,17/08/2004
2004,C11,17/08/2004,30/08/2004
2004,C12,30/08/2004,13/09/2004
2004,C13,13/09/2004,27/09/2004
2004,C14,27/09/2004,11/10/2004
2004,C15,11/10/2004,25/10/2004
2004,C16,25/10/2004,08/11/2004
2005,C17,13/04/2005,26/04/2005
2005,C18,26/04/2005,10/05/2005
2005,C19,10/05/2005,24/05/2005
2005,C20,24/05/2005,07/06/2005
2005,C21,07/06/2005,21/06/2005
2005,C22,21/06/2005,05/07/2005
2005,C23,05/07/2005,20/07/2005
2005,C24,20/07/2005,02/08/2005
